subject,modeldate,party,approve_estimate,disapprove_estimate,timestamp
Trump,3/27/2020,all,49.5897,46.63401,17:45:42  2 Apr 2020
Biden,12/15/2021,D,84.363377,12.161175,20:24:06 15 Dec 2021
Biden,2/19/2022,R,16.065049,80.338624,08:45:49 22 Feb 2022
Trump,3/12/2020,I,38.85675,47.11414,17:45:20  2 Apr 2020
Biden,1/26/2021,R,24,54,11:10:07  8 Feb 2021
Trump,9/5/2020,all,38.98384,57.074155,10:40:26  6 Sep 2020
Biden,9/2/2021,I,48.952473,43.4036,16:25:17  3 Sep 2021
Trump,12/12/2021,all,38.940859,57.001143,08:59:51 13 Dec 2021
Trump,11/3/2021,all,38.940859,57.001143,14:30:25  3 Nov 2021
Trump,8/28/2020,I,33.618802,61.403535,06:10:11 28 Aug 2020
Trump,9/17/2021,I,35.912502,57.484054,13:35:33 19 Sep 2021
Trump,3/28/2021,I,35.865281,57.707884,14:35:14 28 Mar 2021
Trump,2/10/2021,I,35.86488,57.75117,14:13:44 10 Feb 2021
Trump,5/7/2020,all,43.527391,51.08373,18:50:08  7 May 2020
Trump,3/12/2020,R,82.34178,11.52723,17:45:32  2 Apr 2020
Trump,11/12/2021,R,76.792488,19.971529,16:02:17 12 Nov 2021
Biden,1/27/2021,all,60.61885,27.48654,11:11:15  8 Feb 2021
Biden,2/16/2022,R,15.964751,80.427219,14:02:15 16 Feb 2022
Trump,6/6/2020,all,42.73964,53.42655,09:05:15  7 Jun 2020
Trump,11/6/2020,R,82.843649,14.954726,08:40:56 10 Nov 2020
Trump,3/3/2020,I,39.44207,39.42209,17:45:22  2 Apr 2020
Trump,8/28/2020,D,8.5966832,89.971437,06:10:09 28 Aug 2020
Trump,9/14/2020,D,8.4764011,89.444709,18:30:09 14 Sep 2020
Trump,7/31/2021,R,76.792488,19.971529,10:11:04  2 Aug 2021
Trump,3/6/2021,I,35.865281,57.707884,09:35:30  8 Mar 2021
Trump,11/28/2021,D,9.4143635,87.934516,10:53:16 29 Nov 2021
Biden,11/13/2021,all,48.903377,45.098278,13:15:46 14 Nov 2021
Trump,4/9/2021,R,76.809024,19.963329,15:25:18  9 Apr 2021
Biden,5/17/2022,R,19.33061,76.363756,09:31:15 18 May 2022
Biden,2/22/2021,I,56.058795,30.611554,19:55:09 22 Feb 2021
Trump,7/9/2021,all,38.942568,57.005674,20:56:25 12 Jul 2021
Trump,8/2/2020,R,77.90349,19.999739,06:35:30  4 Aug 2020
Trump,5/6/2020,I,39.103369,53.550822,19:45:06  6 May 2020
Trump,2/9/2021,I,35.86488,57.75117,13:59:12 10 Feb 2021
Biden,3/12/2021,R,29.560157,64.935236,22:55:13 12 Mar 2021
Biden,3/5/2022,D,81.988036,14.41697,20:11:09  7 Mar 2022
Trump,2/6/2022,D,9.4143635,87.934516,04:20:21  7 Feb 2022
Trump,9/22/2020,R,81.387307,15.93994,20:00:13 22 Sep 2020
Trump,9/8/2020,D,7.7483868,90.628251,19:05:07  8 Sep 2020
Trump,3/26/2020,all,49.63803,46.58516,17:45:42  2 Apr 2020
Trump,7/7/2021,D,9.4143635,87.934516,09:20:10  7 Jul 2021
Trump,7/9/2020,D,10.127155,88.181467,00:25:11 10 Jul 2020
Biden,4/11/2021,all,62.319474,31.29919,16:35:41 11 Apr 2021
Trump,4/3/2020,R,86.266949,11.985825,13:35:05  3 Apr 2020
Biden,3/1/2021,I,57.714471,32.61621,09:50:24  2 Mar 2021
Biden,10/15/2021,I,42.912058,47.658281,19:15:22 17 Oct 2021
Biden,6/3/2022,all,48.792093,43.656212,12:35:11  3 Jun 2022
Trump,6/10/2020,all,42.180721,54.121064,17:25:11 10 Jun 2020
Biden,11/29/2021,R,14.884332,81.131771,14:21:15 29 Nov 2021
Trump,1/25/2022,I,35.912502,57.484054,14:02:14 25 Jan 2022
Biden,7/17/2021,I,57.552725,35.338729,08:00:38 20 Jul 2021
Trump,12/18/2021,all,38.940859,57.001143,09:39:25 21 Dec 2021
Biden,2/27/2021,R,26.652946,66.235195,09:50:39  2 Mar 2021
Biden,7/11/2021,all,60.573376,31.013347,20:56:00 12 Jul 2021
Biden,6/30/2021,D,92.058427,5.941441,09:10:07 30 Jun 2021
Biden,5/27/2021,D,91.095619,6.9470822,07:40:09 28 May 2021
Trump,8/14/2020,all,39.201365,57.341293,09:05:16 14 Aug 2020
Trump,11/22/2020,I,34.725852,59.30293,08:30:28 24 Nov 2020
Biden,4/17/2022,I,44.406062,47.267848,09:02:20 20 Apr 2022
Trump,1/3/2022,R,76.792488,19.971529,09:05:53  4 Jan 2022
Trump,10/5/2020,all,40.33357,56.51929,18:45:19  5 Oct 2020
Biden,12/4/2021,R,15.126387,80.792171,02:56:38  6 Dec 2021
Trump,8/11/2021,I,35.912502,57.484054,18:35:14 11 Aug 2021
Trump,8/5/2021,I,35.912502,57.484054,08:50:15  5 Aug 2021
Trump,3/23/2020,R,85.83202,10.72082,17:45:29  2 Apr 2020
Biden,4/2/2022,I,45.438572,48.188557,09:39:15  4 Apr 2022
Trump,10/13/2020,R,82.528124,15.394011,22:15:15 13 Oct 2020
Trump,9/9/2020,D,8.0262437,89.899614,18:05:08  9 Sep 2020
Biden,9/12/2021,all,52.243979,40.860664,14:56:18 14 Sep 2021
Trump,6/8/2021,R,76.792488,19.971529,11:41:18  9 Jun 2021
Trump,12/26/2021,D,9.4143635,87.934516,08:32:31 27 Dec 2021
Trump,10/27/2020,D,6.874609,90.29114,13:20:11 27 Oct 2020
Trump,5/6/2020,R,83.382022,13.68619,19:45:07  6 May 2020
Trump,4/6/2020,all,48.568465,46.728485,23:50:05  6 Apr 2020
Trump,8/6/2021,R,76.792488,19.971529,20:55:20  6 Aug 2021
Trump,2/17/2020,R,80.40076,5.410971,17:45:38  2 Apr 2020
Biden,4/29/2021,I,59.301606,33.167745,10:40:17 30 Apr 2021
Biden,6/9/2021,I,58.711919,34.40842,11:40:38  9 Jun 2021
Biden,3/8/2022,all,47.757601,45.120114,08:06:50  9 Mar 2022
Trump,9/9/2021,R,76.792488,19.971529,12:10:21  9 Sep 2021
Trump,7/31/2021,D,9.4143635,87.934516,10:10:21  2 Aug 2021
Trump,2/24/2021,all,38.269632,57.854772,09:20:25 24 Feb 2021
Trump,9/9/2021,all,38.940859,57.001143,12:10:27  9 Sep 2021
Trump,11/12/2021,I,35.912502,57.484054,16:02:13 12 Nov 2021
Trump,12/12/2021,R,76.792488,19.971529,08:59:37 13 Dec 2021
Trump,6/11/2020,I,36.921523,58.125815,18:40:09 11 Jun 2020
Trump,8/8/2021,R,76.792488,19.971529,07:55:56 10 Aug 2021
Trump,4/1/2021,R,76.134851,20.298546,10:40:19  1 Apr 2021
Trump,1/24/2022,D,9.4143635,87.934516,08:10:00 24 Jan 2022
Trump,3/9/2020,R,81.57394,11.32758,17:45:33  2 Apr 2020
Trump,4/26/2021,I,35.918727,57.488042,09:35:23 27 Apr 2021
Trump,9/10/2020,I,33.990567,59.757046,13:05:10 10 Sep 2020
Trump,4/17/2020,R,86.177389,12.003525,14:30:05 17 Apr 2020
Trump,3/27/2020,R,85.36964,12.42568,17:45:28  2 Apr 2020
Biden,9/15/2021,R,19.619029,75.947175,10:30:17 15 Sep 2021
Trump,7/7/2021,R,76.792488,19.971529,09:20:19  7 Jul 2021
Biden,2/14/2022,all,44.737365,47.38636,08:46:06 14 Feb 2022
Trump,11/22/2020,all,39.921029,56.906098,08:30:52 24 Nov 2020
Trump,11/19/2020,R,81.378921,16.02626,20:20:17 19 Nov 2020
Biden,5/23/2022,R,19.198432,75.960246,21:24:09 23 May 2022
Biden,2/22/2022,all,44.539932,48.567588,08:51:20 22 Feb 2022
Trump,2/22/2020,R,80.49252,6.084507,17:45:37  2 Apr 2020
Biden,1/23/2022,I,36.737483,55.873862,12:29:16 23 Jan 2022
Biden,9/12/2021,I,47.260371,43.139482,14:55:32 14 Sep 2021
Biden,4/13/2022,I,43.535204,47.982353,15:36:08 13 Apr 2022
Biden,8/17/2021,I,51.947607,41.402996,08:15:30 18 Aug 2021
Trump,11/28/2020,I,35.143215,59.013879,20:50:12 28 Nov 2020
Trump,12/1/2021,D,9.4143635,87.934516,13:08:10  1 Dec 2021
Trump,2/19/2021,all,38.269632,57.854772,13:50:22 19 Feb 2021
Biden,5/29/2021,all,62.9711,32.531588,23:25:47 31 May 2021
Biden,7/13/2021,D,92.066909,5.3548126,11:35:09 14 Jul 2021
Trump,4/29/2021,all,38.952622,57.001373,10:40:43 30 Apr 2021
Biden,3/15/2022,D,82.068778,13.152256,09:48:07 15 Mar 2022
Trump,9/19/2021,D,9.4143635,87.934516,13:35:12 19 Sep 2021
Trump,2/25/2021,I,35.865281,57.707884,15:10:21 26 Feb 2021
Biden,11/6/2021,all,49.203043,43.902644,09:10:58  8 Nov 2021
Trump,12/26/2021,R,76.792488,19.971529,08:33:12 27 Dec 2021
Trump,12/3/2021,all,38.940859,57.001143,02:57:13  6 Dec 2021
Biden,3/3/2021,D,91.016485,5.4562365,10:50:08  3 Mar 2021
Trump,2/28/2021,R,76.134851,20.298546,09:50:50  2 Mar 2021
Biden,1/21/2022,D,79.405323,16.020861,09:19:09 21 Jan 2022
Trump,8/28/2020,all,38.875297,58.043199,06:10:16 28 Aug 2020
Biden,2/28/2021,all,60.052995,31.709031,09:50:56  2 Mar 2021
Biden,3/30/2021,all,61.991761,31.09557,16:25:18 30 Mar 2021
Trump,3/31/2020,R,85.75674,12.21222,17:45:27  2 Apr 2020
Biden,2/13/2022,I,41.638383,49.652674,08:45:43 14 Feb 2022
Trump,4/30/2020,R,84.445038,12.766416,15:45:07 30 Apr 2020
Biden,4/11/2021,D,91.139064,6.2603847,16:35:18 11 Apr 2021
Trump,12/28/2020,I,34.46289,58.892389,08:36:06  5 Jan 2021
Biden,3/27/2022,I,45.936255,47.568207,13:00:10 27 Mar 2022
Trump,7/22/2020,all,38.394418,57.825748,14:30:13 22 Jul 2020
Trump,6/29/2020,all,40.777488,55.868535,18:35:12 29 Jun 2020
Trump,1/14/2021,R,79.129507,18.320891,09:25:27 15 Jan 2021
Trump,11/20/2021,I,35.912502,57.484054,09:31:26 22 Nov 2021
Trump,5/4/2020,R,84.37774,13.050827,15:10:09  4 May 2020
Trump,3/4/2020,I,39.44207,39.42209,17:45:22  2 Apr 2020
Trump,12/21/2020,all,39.909318,56.530977,19:30:22 21 Dec 2020
Trump,7/4/2021,I,35.912502,57.484054,12:55:19  4 Jul 2021
Biden,7/14/2021,I,58.138891,34.226537,11:35:18 14 Jul 2021
Trump,5/7/2021,all,38.952622,57.001373,21:30:24  7 May 2021
Trump,6/24/2020,I,36.056723,57.789416,10:55:09 24 Jun 2020
Biden,8/1/2021,R,27.309021,68.518081,10:10:50  2 Aug 2021
Biden,5/5/2022,R,19.53777,76.400594,12:24:10  5 May 2022
Trump,1/22/2022,R,76.792488,19.971529,12:29:29 23 Jan 2022
Biden,8/5/2021,I,53.59521,38.100414,08:50:12  5 Aug 2021
Trump,1/14/2022,all,38.940859,57.001143,13:06:40 15 Jan 2022
Biden,7/26/2021,D,90.223314,7.1871808,17:15:06 26 Jul 2021
Biden,4/1/2021,R,30.77316,63.290099,10:40:15  1 Apr 2021
Trump,6/3/2020,all,43.3936,53.36457,17:30:12  3 Jun 2020
Trump,4/16/2020,I,43.170702,50.45786,17:45:05 16 Apr 2020
Trump,6/8/2021,all,38.942568,57.005674,11:41:53  9 Jun 2021
Biden,4/28/2022,D,83.118414,12.467868,09:32:07 28 Apr 2022
Trump,6/10/2021,D,9.4143635,87.934516,23:05:16 11 Jun 2021
Trump,11/21/2021,D,9.4143635,87.934516,09:31:13 22 Nov 2021
Trump,3/11/2020,I,37.71305,46.64754,17:45:20  2 Apr 2020
Biden,4/14/2021,D,91.426532,6.0387412,14:05:06 14 Apr 2021
Trump,6/12/2020,D,11.439433,86.75611,18:00:09 12 Jun 2020
Trump,2/15/2021,D,8.812404,88.85838,17:31:47 15 Feb 2021
Trump,12/21/2021,all,38.940859,57.001143,20:07:23 21 Dec 2021
Trump,9/3/2020,all,39.003227,56.979942,22:55:15  3 Sep 2020
Biden,5/6/2022,I,44.274556,47.592998,03:29:15  9 May 2022
Biden,3/4/2022,D,81.988036,14.41697,19:50:11  4 Mar 2022
Biden,5/24/2022,all,48.928911,44.065691,03:45:16 24 May 2022
Trump,10/22/2020,I,35.20809,60.544977,14:10:12 22 Oct 2020
Trump,8/9/2020,D,8.1639159,89.740153,10:35:11 10 Aug 2020
Trump,3/29/2021,all,38.269632,57.854772,16:25:23 29 Mar 2021
Trump,2/18/2022,I,35.912502,57.484054,08:45:45 22 Feb 2022
Biden,10/24/2021,I,42.404558,47.764607,15:40:27 25 Oct 2021
Biden,8/25/2021,I,49.889797,43.213984,10:20:11 25 Aug 2021
Biden,2/23/2022,R,15.535816,80.757547,22:05:23 23 Feb 2022
Biden,2/8/2022,I,38.533696,54.145521,07:59:16  9 Feb 2022
Biden,6/24/2022,D,81.705035,13.520196,10:52:14 29 Jun 2022
Trump,2/19/2020,I,40.32019,24.01075,17:45:25  2 Apr 2020
Trump,5/29/2020,D,12.250141,85.262971,19:15:05 29 May 2020
Trump,2/2/2021,D,8.812404,88.85838,11:08:28  8 Feb 2021
Trump,1/5/2022,R,76.792488,19.971529,09:17:19  5 Jan 2022
Trump,5/10/2021,I,35.918727,57.488042,09:10:23 10 May 2021
Trump,11/21/2020,D,7.2226178,90.884963,10:40:11 21 Nov 2020
Trump,4/21/2020,D,16.533445,80.84239,21:40:05 21 Apr 2020
Trump,2/24/2022,R,76.792488,19.971529,21:47:17 24 Feb 2022
Trump,6/10/2020,I,37.109034,57.944523,17:25:08 10 Jun 2020
Biden,6/19/2021,D,91.159409,6.7247622,09:25:07 21 Jun 2021
Trump,10/12/2021,all,38.940859,57.001143,09:41:34 13 Oct 2021
Biden,1/12/2022,I,39.14337,53.413611,14:14:11 12 Jan 2022
Trump,2/24/2021,R,76.134851,20.298546,09:20:19 24 Feb 2021
Biden,12/14/2021,all,47.92217,45.014907,13:59:19 14 Dec 2021
Biden,6/19/2021,I,56.870879,36.459954,09:25:24 21 Jun 2021
Trump,7/2/2020,all,39.533817,56.287416,17:35:13  2 Jul 2020
Trump,3/24/2021,I,35.865281,57.707884,13:20:13 24 Mar 2021
Biden,12/19/2021,all,48.148961,45.241931,09:39:06 21 Dec 2021
Biden,3/30/2022,R,18.217995,78.240169,13:43:11 30 Mar 2022
Biden,4/1/2022,R,18.16776,78.270386,10:12:09  1 Apr 2022
Biden,5/11/2021,all,63.301372,31.114625,08:40:30 12 May 2021
Trump,10/10/2021,all,38.940859,57.001143,09:41:45 13 Oct 2021
Biden,5/28/2021,all,62.9711,32.531588,13:50:20 28 May 2021
Trump,5/28/2021,all,38.942568,57.005674,13:50:26 28 May 2021
Trump,5/27/2021,R,76.792488,19.971529,07:40:32 28 May 2021
Biden,5/27/2021,all,63.388312,32.115757,07:40:33 28 May 2021
Biden,5/27/2021,R,32.546909,62.946616,07:40:25 28 May 2021
Trump,5/27/2021,I,35.912502,57.484054,07:40:24 28 May 2021
Trump,5/27/2021,all,38.942568,57.005674,07:40:44 28 May 2021
Trump,5/27/2021,D,9.4143635,87.934516,07:40:16 28 May 2021
Biden,5/27/2021,D,91.095619,6.9470822,07:40:09 28 May 2021
Biden,5/27/2021,I,60.815637,32.670293,07:40:17 28 May 2021
Biden,5/26/2021,D,91.095619,6.9470822,21:20:08 26 May 2021
Trump,5/26/2021,D,9.4143635,87.934516,21:20:12 26 May 2021
Biden,5/26/2021,I,60.815637,32.670293,21:20:12 26 May 2021
Trump,5/26/2021,I,35.912502,57.484054,21:20:16 26 May 2021
Biden,5/26/2021,R,32.546909,62.946616,21:20:16 26 May 2021
Trump,5/26/2021,R,76.792488,19.971529,21:20:20 26 May 2021
Biden,5/26/2021,all,63.388312,32.115757,21:20:20 26 May 2021
Trump,5/26/2021,all,38.942568,57.005674,21:20:26 26 May 2021
Biden,5/25/2021,R,31.93649,63.36196,10:52:24 25 May 2021
Trump,5/25/2021,R,76.79249,19.97153,10:52:29 25 May 2021
Trump,5/25/2021,I,35.9125,57.48405,10:52:13 25 May 2021
Biden,5/25/2021,all,63.09688,31.82529,10:52:42 25 May 2021
Biden,5/25/2021,D,91.96836,6.076945,10:51:51 25 May 2021
Trump,5/25/2021,D,9.414364,87.93452,10:51:57 25 May 2021
Trump,5/25/2021,all,38.94257,57.00567,10:52:49 25 May 2021
Biden,5/25/2021,I,60.34832,32.73201,10:52:09 25 May 2021
Biden,5/24/2021,R,31.93649,63.36196,10:52:25 25 May 2021
Trump,5/24/2021,R,76.79249,19.97153,10:52:33 25 May 2021
Trump,5/24/2021,I,35.9125,57.48405,10:52:17 25 May 2021
Biden,5/24/2021,all,63.09688,31.82529,10:52:42 25 May 2021
Biden,5/24/2021,D,91.96836,6.076945,10:51:52 25 May 2021
Trump,5/24/2021,all,38.94257,57.00567,10:52:55 25 May 2021
Trump,5/24/2021,D,9.414364,87.93452,10:52:00 25 May 2021
Biden,5/24/2021,I,60.34832,32.73201,10:52:09 25 May 2021
Biden,5/23/2021,R,31.93649,63.36196,10:52:25 25 May 2021
Trump,5/23/2021,all,38.94257,57.00567,10:53:00 25 May 2021
Trump,5/23/2021,R,76.79249,19.97153,10:52:37 25 May 2021
Trump,5/23/2021,I,35.9125,57.48405,10:52:20 25 May 2021
Biden,5/23/2021,all,63.09688,31.82529,10:52:43 25 May 2021
Biden,5/23/2021,I,60.34832,32.73201,10:52:09 25 May 2021
Biden,5/23/2021,D,91.96836,6.076945,10:51:52 25 May 2021
Trump,5/23/2021,D,9.414364,87.93452,10:52:04 25 May 2021
Trump,5/22/2021,I,35.9125,57.48405,10:52:24 25 May 2021
Biden,5/22/2021,I,60.34832,32.73201,10:52:10 25 May 2021
Trump,5/22/2021,R,76.79249,19.97153,10:52:41 25 May 2021
Trump,5/22/2021,D,9.414364,87.93452,10:52:08 25 May 2021
Biden,5/22/2021,D,91.96836,6.076945,10:51:52 25 May 2021
Trump,5/22/2021,all,38.94257,57.00567,10:53:06 25 May 2021
Biden,5/22/2021,all,63.09688,31.82529,10:52:43 25 May 2021
Biden,5/22/2021,R,31.93649,63.36196,10:52:26 25 May 2021
Biden,5/21/2021,D,91.968365,6.0769447,21:05:06 21 May 2021
Trump,5/21/2021,D,9.4243706,87.920949,21:05:10 21 May 2021
Biden,5/21/2021,I,60.348325,32.732013,21:05:10 21 May 2021
Trump,5/21/2021,I,35.918727,57.488042,21:05:13 21 May 2021
Biden,5/21/2021,R,31.936496000000002,63.36196,21:05:13 21 May 2021
Trump,5/21/2021,R,76.809024,19.963329,21:05:17 21 May 2021
Biden,5/21/2021,all,63.096877,31.825291,21:05:17 21 May 2021
Trump,5/21/2021,all,38.952622,57.001373,21:05:22 21 May 2021
Trump,5/20/2021,R,76.809024,19.963329,12:15:29 21 May 2021
Trump,5/20/2021,D,9.4243706,87.920949,12:15:14 21 May 2021
Biden,5/20/2021,R,32.27695,62.814807,12:15:22 21 May 2021
Trump,5/20/2021,all,38.952622,57.001373,12:15:39 21 May 2021
Trump,5/20/2021,I,35.918727,57.488042,12:15:21 21 May 2021
Biden,5/20/2021,all,63.236509,31.49964,12:15:30 21 May 2021
Biden,5/20/2021,D,91.544313,6.2520742,12:15:07 21 May 2021
Biden,5/20/2021,I,59.589215,33.057982,12:15:15 21 May 2021
Biden,5/19/2021,D,91.454473,6.379538,21:05:06 19 May 2021
Trump,5/19/2021,D,9.4243706,87.920949,21:05:10 19 May 2021
Biden,5/19/2021,I,59.26665,33.403369,21:05:10 19 May 2021
Trump,5/19/2021,I,35.918727,57.488042,21:05:13 19 May 2021
Biden,5/19/2021,R,32.513131,62.705134,21:05:14 19 May 2021
Trump,5/19/2021,R,76.809024,19.963329,21:05:17 19 May 2021
Biden,5/19/2021,all,62.965776,31.530834,21:05:18 19 May 2021
Trump,5/19/2021,all,38.952622,57.001373,21:05:22 19 May 2021
Trump,5/18/2021,I,35.918727,57.488042,08:05:20 19 May 2021
Biden,5/18/2021,R,32.872946,62.26901,08:05:21 19 May 2021
Biden,5/18/2021,D,91.673056,6.3877668,08:05:07 19 May 2021
Biden,5/18/2021,I,59.228935,33.389806,08:05:14 19 May 2021
Trump,5/18/2021,R,76.809024,19.963329,08:05:27 19 May 2021
Biden,5/18/2021,all,63.094174,31.398501,08:05:28 19 May 2021
Trump,5/18/2021,D,9.4243706,87.920949,08:05:13 19 May 2021
Trump,5/18/2021,all,38.952622,57.001373,08:05:38 19 May 2021
Biden,5/17/2021,D,91.751627,6.3354043,18:15:07 17 May 2021
Trump,5/17/2021,D,9.4243706,87.920949,18:15:11 17 May 2021
Biden,5/17/2021,I,59.260733,33.440091,18:15:11 17 May 2021
Trump,5/17/2021,I,35.918727,57.488042,18:15:14 17 May 2021
Biden,5/17/2021,R,32.768933,62.470164,18:15:14 17 May 2021
Trump,5/17/2021,R,76.809024,19.963329,18:15:18 17 May 2021
Biden,5/17/2021,all,63.103472,31.403851,18:15:18 17 May 2021
Trump,5/17/2021,all,38.952622,57.001373,18:15:23 17 May 2021
Biden,5/16/2021,D,91.719586,6.3132651,08:55:08 17 May 2021
Biden,5/16/2021,R,33.455598,61.736714,08:55:37 17 May 2021
Trump,5/16/2021,all,38.952622,57.001373,08:56:03 17 May 2021
Trump,5/16/2021,D,9.4243706,87.920949,08:55:15 17 May 2021
Biden,5/16/2021,all,63.295603,31.289337,08:55:52 17 May 2021
Trump,5/16/2021,R,76.809024,19.963329,08:55:44 17 May 2021
Trump,5/16/2021,I,35.918727,57.488042,08:55:30 17 May 2021
Biden,5/16/2021,I,59.515587,33.34717,08:55:23 17 May 2021
Biden,5/15/2021,I,59.515587,33.34717,08:55:23 17 May 2021
Trump,5/15/2021,D,9.4243706,87.920949,08:55:19 17 May 2021
Biden,5/15/2021,R,33.455598,61.736714,08:55:37 17 May 2021
Trump,5/15/2021,I,35.918727,57.488042,08:55:33 17 May 2021
Biden,5/15/2021,all,63.295603,31.289337,08:55:53 17 May 2021
Trump,5/15/2021,all,38.952622,57.001373,08:56:08 17 May 2021
Biden,5/15/2021,D,91.719586,6.3132651,08:55:08 17 May 2021
Trump,5/15/2021,R,76.809024,19.963329,08:55:48 17 May 2021
Trump,5/14/2021,I,35.918727,57.488042,08:55:36 17 May 2021
Biden,5/14/2021,I,59.515587,33.34717,08:55:24 17 May 2021
Biden,5/14/2021,all,63.295603,31.289337,08:55:53 17 May 2021
Trump,5/14/2021,R,76.809024,19.963329,08:55:51 17 May 2021
Trump,5/14/2021,all,38.952622,57.001373,08:56:13 17 May 2021
Biden,5/14/2021,R,33.455598,61.736714,08:55:38 17 May 2021
Biden,5/14/2021,D,91.719586,6.3132651,08:55:09 17 May 2021
Trump,5/14/2021,D,9.4243706,87.920949,08:55:22 17 May 2021
Biden,5/13/2021,D,91.109783,6.6761458,09:00:08 13 May 2021
Trump,5/13/2021,D,9.4243706,87.920949,09:00:12 13 May 2021
Biden,5/13/2021,I,58.688942,33.806361,09:00:12 13 May 2021
Trump,5/13/2021,I,35.918727,57.488042,09:00:15 13 May 2021
Biden,5/13/2021,R,33.641106,61.483227,09:00:16 13 May 2021
Trump,5/13/2021,R,76.809024,19.963329,09:00:19 13 May 2021
=======,,,NA,NA,
Trump,7/15/2020,D,9.3760436,89.174571,17:10:08 15 Jul 2020
Trump,3/6/2021,all,38.269632,57.854772,09:35:59  8 Mar 2021
Trump,6/23/2021,I,35.912502,57.484054,18:55:14 23 Jun 2021
Trump,8/28/2021,all,38.940859,57.001143,08:06:35 30 Aug 2021
Trump,8/3/2020,all,37.623608,58.25698,06:35:37  4 Aug 2020
Trump,8/9/2020,I,32.36257,61.893868,10:35:17 10 Aug 2020
Biden,4/27/2022,R,19.551214,76.626405,19:53:10 27 Apr 2022
Trump,8/28/2021,D,9.4143635,87.934516,08:05:21 30 Aug 2021
Biden,3/14/2022,R,20.091244,76.283308,00:58:22 15 Mar 2022
Biden,4/20/2022,all,49.574251,42.817166,09:18:11 20 Apr 2022
Trump,10/10/2020,R,81.84687,15.978173,18:35:13 10 Oct 2020
Biden,4/18/2022,R,19.255875,76.166089,09:02:27 20 Apr 2022
Trump,1/30/2022,I,35.912502,57.484054,12:05:14 30 Jan 2022
Trump,8/23/2020,R,79.365741,18.233926,10:40:16 23 Aug 2020
Trump,7/17/2021,I,35.912502,57.484054,08:00:54 20 Jul 2021
Trump,12/7/2021,I,35.912502,57.484054,04:41:20  8 Dec 2021
Biden,5/10/2022,D,82.965252,13.071928,09:38:09 11 May 2022
Biden,4/5/2022,I,45.438572,48.188557,08:06:18  5 Apr 2022
Trump,2/2/2021,I,35.86488,57.75117,11:09:27  8 Feb 2021
Trump,9/26/2021,R,76.792488,19.971529,08:36:11 29 Sep 2021
Trump,5/23/2020,R,82.283241,15.115515,07:30:19 26 May 2020
Biden,6/5/2022,R,19.218922,75.557276,20:38:10  5 Jun 2022
Trump,3/4/2021,I,35.865281,57.707884,09:00:15  4 Mar 2021
Trump,6/18/2021,D,9.4143635,87.934516,09:25:22 21 Jun 2021
Trump,2/23/2021,I,35.865281,57.707884,10:05:14 23 Feb 2021
Biden,8/18/2021,all,54.407871,38.492439,09:10:21 18 Aug 2021
Trump,4/11/2021,D,9.4243706,87.920949,16:35:22 11 Apr 2021
Biden,1/22/2022,all,44.109354,50.090763,12:29:32 23 Jan 2022
Trump,10/11/2020,D,7.5781504,91.138656,07:25:07 11 Oct 2020
Trump,2/25/2022,all,38.940859,57.001143,12:26:22 25 Feb 2022
Trump,1/13/2022,D,9.4143635,87.934516,12:21:10 13 Jan 2022
Trump,11/15/2020,I,35.425668,59.667745,03:35:26 16 Nov 2020
Trump,4/8/2020,R,86.474075,11.832238,22:10:04  8 Apr 2020
Biden,6/22/2022,D,81.705035,13.520196,22:14:09 22 Jun 2022
Trump,4/9/2020,I,43.398822,49.819028,18:30:05  9 Apr 2020
Trump,2/19/2020,R,80.49252,6.084507,17:45:38  2 Apr 2020
Trump,2/28/2021,I,35.865281,57.707884,09:50:34  2 Mar 2021
Trump,10/1/2021,R,76.792488,19.971529,10:31:02  4 Oct 2021
Biden,4/22/2022,I,44.446843,47.9166,14:59:07 22 Apr 2022
Biden,5/13/2021,all,62.927577,31.512041,09:00:20 13 May 2021
Trump,1/13/2021,D,9.9469755,86.727407,14:05:11 13 Jan 2021
Trump,1/10/2022,all,38.940859,57.001143,12:44:24 10 Jan 2022
Trump,12/11/2020,I,35.12897,59.071646,22:20:12 11 Dec 2020
Biden,8/26/2021,R,19.307904,76.837625,08:05:53 30 Aug 2021
Trump,9/20/2021,D,9.4143635,87.934516,08:25:16 21 Sep 2021
Biden,5/5/2022,all,49.287477,44.168305,12:24:12  5 May 2022
Trump,7/5/2020,all,39.532807,56.300803,06:50:37  7 Jul 2020
Trump,10/23/2021,D,9.4143635,87.934516,15:40:22 25 Oct 2021
Trump,2/5/2022,I,35.912502,57.484054,04:20:42  7 Feb 2022
Trump,4/6/2020,R,86.405271,11.9526,23:50:05  6 Apr 2020
Biden,1/29/2022,D,77.620543,17.717425,21:13:10 29 Jan 2022
Trump,5/2/2020,D,14.704841,82.005949,07:00:06  2 May 2020
Trump,8/17/2021,I,35.912502,57.484054,08:15:39 18 Aug 2021
Trump,8/13/2021,I,35.912502,57.484054,14:15:15 13 Aug 2021
Trump,7/19/2021,R,76.792488,19.971529,08:01:12 20 Jul 2021
Trump,10/14/2020,D,6.7808634,91.91831,21:45:09 14 Oct 2020
Biden,4/22/2022,R,18.312209,77.130754,14:59:09 22 Apr 2022
Biden,5/9/2021,all,63.250544,31.194339,09:10:41 10 May 2021
Biden,1/13/2022,I,38.318898,52.735235,12:21:11 13 Jan 2022
