subject,modeldate,party,approve_estimate,disapprove_estimate,timestamp
Biden,5/1/2022,R,19.739946,76.915098,13:25:12  1 May 2022
Biden,1/28/2021,I,46,25,11:09:07  8 Feb 2021
Trump,2/8/2022,all,38.940859,57.001143,07:59:39  9 Feb 2022
Biden,3/11/2021,I,56.425792,33.903451,13:00:12 11 Mar 2021
Trump,10/15/2020,R,82.940494,14.906048,22:40:16 15 Oct 2020
Biden,2/18/2022,R,16.065049,80.338624,08:45:50 22 Feb 2022
Trump,2/4/2021,D,8.812404,88.85838,11:08:23  8 Feb 2021
Biden,10/23/2021,I,42.404558,47.764607,15:40:28 25 Oct 2021
Biden,9/27/2021,R,19.721733,75.376654,08:35:53 29 Sep 2021
Trump,7/23/2021,R,76.792488,19.971529,11:10:19 23 Jul 2021
Trump,10/12/2020,R,82.095936,15.782791,07:30:27 13 Oct 2020
Trump,5/17/2021,all,38.952622,57.001373,18:15:23 17 May 2021
Biden,5/25/2022,all,49.245422,43.697197,13:38:12 25 May 2022
Trump,2/3/2021,all,38.27279,57.86994,11:11:45  8 Feb 2021
Trump,6/20/2021,all,38.942568,57.005674,09:26:11 21 Jun 2021
Trump,2/3/2021,I,35.86488,57.75117,11:09:24  8 Feb 2021
Trump,5/17/2020,all,43.274183,52.476902,12:20:09 17 May 2020
Biden,3/9/2021,D,91.571733,5.5715809,21:50:06  9 Mar 2021
Trump,7/14/2021,I,35.912502,57.484054,11:35:22 14 Jul 2021
Trump,9/11/2021,D,9.4143635,87.934516,14:55:26 14 Sep 2021
Biden,3/2/2022,R,17.704008,78.690341,15:34:09  2 Mar 2022
Biden,8/17/2021,D,88.003128,8.8479831,08:15:08 18 Aug 2021
Trump,12/11/2021,all,38.940859,57.001143,08:59:55 13 Dec 2021
Biden,11/19/2021,D,85.112274,11.621445,14:56:08 19 Nov 2021
Biden,7/31/2021,I,57.115702,35.920946,10:10:30  2 Aug 2021
Biden,3/25/2022,all,49.186794,44.5,09:23:10 25 Mar 2022
Trump,11/8/2021,R,76.792488,19.971529,12:40:18  8 Nov 2021
Biden,4/2/2022,all,49.233428,44.882917,09:39:23  4 Apr 2022
Biden,9/9/2021,R,20.341097,74.664141,12:10:17  9 Sep 2021
Trump,1/2/2021,I,34.46289,58.892389,08:35:50  5 Jan 2021
Biden,6/10/2021,D,90.36758,7.0432674,23:05:08 11 Jun 2021
Trump,3/16/2021,R,76.134851,20.298546,10:20:19 16 Mar 2021
Trump,3/21/2020,D,18.9409,75.0639,17:45:06  2 Apr 2020
Biden,10/31/2021,all,48.82393,43.55945,12:35:27 31 Oct 2021
Biden,11/8/2021,D,83.780909,11.659516,12:40:08  8 Nov 2021
Trump,10/3/2020,D,10.574982,88.087847,14:00:12  3 Oct 2020
Trump,3/14/2021,all,38.269632,57.854772,03:55:38 14 Mar 2021
Trump,1/27/2021,all,38.27279,57.86994,11:12:16  8 Feb 2021
Biden,1/14/2022,I,38.318898,52.735235,13:06:17 15 Jan 2022
Trump,8/6/2021,D,9.4143635,87.934516,20:55:11  6 Aug 2021
Trump,3/6/2020,all,42.80269,43.73902,17:45:49  2 Apr 2020
Biden,6/16/2022,all,47.923062,43.481715,12:27:19 17 Jun 2022
Biden,4/2/2021,D,91.208042,6.0815728,15:00:08  2 Apr 2021
Biden,5/25/2021,all,63.09688,31.82529,10:52:42 25 May 2021
Biden,9/22/2021,R,19.264312,77.68038,16:10:18 22 Sep 2021
Biden,10/6/2021,I,45.37477,48.680878,13:55:11  6 Oct 2021
Biden,4/7/2022,I,44.53869,47.498783,13:01:09  7 Apr 2022
Trump,2/17/2020,D,27.09484,44.86655,17:45:13  2 Apr 2020
Trump,5/15/2021,all,38.952622,57.001373,08:56:08 17 May 2021
Trump,10/15/2020,all,39.780017,57.364492,22:40:20 15 Oct 2020
Biden,4/2/2021,all,62.770918,30.714418,15:00:21  2 Apr 2021
Biden,3/15/2022,R,20.852602,75.452591,09:48:10 15 Mar 2022
Biden,9/30/2021,I,47.257701,45.431987,09:00:15 30 Sep 2021
Trump,5/14/2021,I,35.918727,57.488042,08:55:36 17 May 2021
Trump,7/25/2020,I,33.155529,61.207238,09:40:14 26 Jul 2020
Trump,5/9/2021,R,76.809024,19.963329,09:10:37 10 May 2021
Biden,2/15/2022,R,16.86257,79.226134,08:59:14 15 Feb 2022
Biden,2/14/2021,I,49.2038,33.03566,17:31:53 15 Feb 2021
Trump,2/12/2022,all,38.940859,57.001143,08:46:21 14 Feb 2022
Trump,6/4/2021,all,38.942568,57.005674,11:42:16  9 Jun 2021
Biden,9/24/2021,I,47.636983,44.490246,14:00:15 24 Sep 2021
Biden,3/2/2021,R,26.652946,66.235195,20:15:14  2 Mar 2021
Biden,2/27/2021,D,92.166665,5.2221916,09:50:08  2 Mar 2021
Trump,2/18/2021,D,8.770641,88.884887,05:55:14 19 Feb 2021
Biden,3/12/2022,all,48.910111,44.015969,15:02:15 13 Mar 2022
Trump,10/17/2021,all,38.940859,57.001143,19:15:55 17 Oct 2021
Biden,3/7/2022,R,18.232941,78.286307,20:11:13  7 Mar 2022
Trump,3/21/2020,all,46.52345,46.76443,17:45:44  2 Apr 2020
Trump,6/4/2021,I,35.912502,57.484054,11:41:02  9 Jun 2021
Trump,5/31/2021,all,38.942568,57.005674,23:25:53 31 May 2021
Trump,6/28/2020,R,82.727446,15.073812,10:40:12 28 Jun 2020
Trump,7/1/2021,R,76.792488,19.971529,08:40:21  1 Jul 2021
Trump,12/4/2020,R,80.972261,16.730989,09:05:23  4 Dec 2020
Biden,4/9/2021,I,60.516066,31.722601,15:25:11  9 Apr 2021
Trump,9/5/2021,I,35.912502,57.484054,08:10:21  5 Sep 2021
Biden,10/18/2021,R,19.108378,77.275399,09:20:28 19 Oct 2021
Trump,1/18/2021,all,39.381889,56.719158,08:35:39 19 Jan 2021
Trump,6/3/2021,D,9.4143635,87.934516,11:40:38  9 Jun 2021
Trump,9/8/2020,I,34.18002,60.362675,19:05:10  8 Sep 2020
Trump,10/18/2021,D,9.4143635,87.934516,09:20:17 19 Oct 2021
Biden,5/3/2021,all,62.732353,31.530468,10:15:57  5 May 2021
Biden,3/27/2022,R,18.729529,77.472041,13:00:13 27 Mar 2022
Trump,6/15/2020,D,11.60855,86.487387,17:00:09 15 Jun 2020
Trump,7/24/2020,R,78.168248,19.425405,17:40:12 24 Jul 2020
Trump,3/26/2021,R,76.134851,20.298546,16:50:17 26 Mar 2021
Biden,11/21/2021,I,42.67147,49.486163,09:31:18 22 Nov 2021
Biden,1/13/2022,all,44.675292,48.013339,12:21:19 13 Jan 2022
Trump,7/18/2021,all,38.942568,57.005674,08:01:49 20 Jul 2021
Biden,4/19/2022,D,83.16726,12.085137,09:02:09 20 Apr 2022
Biden,3/6/2022,D,81.988036,14.41697,20:11:08  7 Mar 2022
Trump,9/15/2021,D,9.4143635,87.934516,10:30:12 15 Sep 2021
Trump,2/5/2021,all,38.27279,57.86994,11:11:36  8 Feb 2021
Trump,12/23/2020,I,34.46289,58.892389,10:15:14 23 Dec 2020
Biden,8/29/2021,R,19.307904,76.837625,08:05:51 30 Aug 2021
Trump,2/12/2021,I,35.86488,57.75117,10:56:14 12 Feb 2021
Trump,10/29/2020,I,34.190085,61.478289,13:10:13 29 Oct 2020
Biden,9/15/2021,all,51.360986,42.424028,10:30:21 15 Sep 2021
Biden,11/25/2021,D,85.222842,11.386868,17:56:10 27 Nov 2021
Biden,12/14/2021,I,40.067004,50.637612,13:59:12 14 Dec 2021
Trump,1/18/2022,D,9.4143635,87.934516,09:34:10 18 Jan 2022
Biden,7/29/2021,all,59.245527,35.101914,10:11:16  2 Aug 2021
Biden,11/15/2021,I,43.756599,47.885015,08:58:15 16 Nov 2021
Trump,9/2/2020,R,80.408544,16.966768,16:45:12  2 Sep 2020
Biden,9/8/2021,R,19.655399,76.410851,09:20:15  8 Sep 2021
Biden,10/13/2021,all,49.634895,42.147758,09:41:18 13 Oct 2021
Trump,7/26/2020,D,8.6013115,89.706997,09:40:09 26 Jul 2020
